Source,Target,Weight,Emiten,Position,Company
 RINA DEWIYANTI ,BANK PEMBANGUNAN DAERAH BANTEN TBK.,4,BEKS, COMMISSIONER ,BANK PEMBANGUNAN DAERAH BANTEN TBK.
 DR. HOIRUDDIN HASIBUAN ,BANK PEMBANGUNAN DAERAH BANTEN TBK.,4,BEKS, PRESIDENT COMMISIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH BANTEN TBK.
 DEDEN APRIANDHI*) ,BANK PEMBANGUNAN DAERAH BANTEN TBK.,4,BEKS, COMMISSIONER ,BANK PEMBANGUNAN DAERAH BANTEN TBK.
 MARTIN BASUKI HARTONO ,GLOBAL DIGITAL NIAGA TBK.,4,BELI, PRESIDENT COMMISIONER ,GLOBAL DIGITAL NIAGA TBK.
 IMRON HENDRATA ,GLOBAL DIGITAL NIAGA TBK.,4,BELI, VICE PRESIDENT COMMISIONER ,GLOBAL DIGITAL NIAGA TBK.
 DR. IR. KUSMAYANTO KADIMAN ,GLOBAL DIGITAL NIAGA TBK.,4,BELI, COMMISSIONER  - INDEPENDENT,GLOBAL DIGITAL NIAGA TBK.
 SURYADI SASMITA ,GLOBAL DIGITAL NIAGA TBK.,4,BELI, COMMISSIONER  - INDEPENDENT,GLOBAL DIGITAL NIAGA TBK.
 LIM KWANG TAK ,TRISULA TEXTILE INDUSTRIES TBK.,4,BELL, PRESIDENT COMMISIONER ,TRISULA TEXTILE INDUSTRIES TBK.
 ELLY MULYATI ,TRISULA TEXTILE INDUSTRIES TBK.,4,BELL, COMMISSIONER  - INDEPENDENT,TRISULA TEXTILE INDUSTRIES TBK.
  ,BATULICIN NUSANTARA MARITIM TBK.,4,BESS, PRESIDENT COMMISIONER ,BATULICIN NUSANTARA MARITIM TBK.
  ,BATULICIN NUSANTARA MARITIM TBK.,4,BESS, COMMISSIONER ,BATULICIN NUSANTARA MARITIM TBK.
  ,BATULICIN NUSANTARA MARITIM TBK.,4,BESS, COMMISSIONER  - INDEPENDENT,BATULICIN NUSANTARA MARITIM TBK.
 I GUSTI PUTU SURYAWIRAWAN ,BEKASI FAJAR INDUSTRIAL ESTATE TBK.,4,BEST, PRESIDENT COMMISIONER  - INDEPENDENT,BEKASI FAJAR INDUSTRIAL ESTATE TBK.
 YOSHIHIRO KOBI ,BEKASI FAJAR INDUSTRIAL ESTATE TBK.,4,BEST, COMMISSIONER ,BEKASI FAJAR INDUSTRIAL ESTATE TBK.
 HERBUDIANTO ,BEKASI FAJAR INDUSTRIAL ESTATE TBK.,4,BEST, COMMISSIONER  - INDEPENDENT,BEKASI FAJAR INDUSTRIAL ESTATE TBK.
 WAHYU HIDAYAT ,BEKASI FAJAR INDUSTRIAL ESTATE TBK.,4,BEST, COMMISSIONER  - INDEPENDENT,BEKASI FAJAR INDUSTRIAL ESTATE TBK.
 FRANCIS LAY SIOE HO ,BFI FINANCE  INDONESIA TBK.,4,BFIN, PRESIDENT COMMISIONER ,BFI FINANCE  INDONESIA TBK.
 KUSMAYANTO KADIMAN ,BFI FINANCE  INDONESIA TBK.,4,BFIN, COMMISSIONER ,BFI FINANCE  INDONESIA TBK.
 SAURABH N. AGARWAL ,BFI FINANCE  INDONESIA TBK.,4,BFIN, COMMISSIONER ,BFI FINANCE  INDONESIA TBK.
 JOHANES SUTRISNO ,BFI FINANCE  INDONESIA TBK.,4,BFIN, COMMISSIONER  - INDEPENDENT,BFI FINANCE  INDONESIA TBK.
 ALFONSO NAPITUPULU ,BFI FINANCE  INDONESIA TBK.,4,BFIN, COMMISSIONER  - INDEPENDENT,BFI FINANCE  INDONESIA TBK.
 MARCELLO THEODORE TAUFIK ,BANK GANESHA TBK.,4,BGTG, PRESIDENT COMMISIONER ,BANK GANESHA TBK.
 LISAWATI ,BANK GANESHA TBK.,4,BGTG, COMMISSIONER ,BANK GANESHA TBK.
 SUDARTO ,BANK GANESHA TBK.,4,BGTG, COMMISSIONER  - INDEPENDENT,BANK GANESHA TBK.
 TRISNA CHANDRA ,BANK GANESHA TBK.,4,BGTG, COMMISSIONER  - INDEPENDENT,BANK GANESHA TBK.
 PAUL RACHMAT WULLUR ,BHAKTI MULTI ARTHA TBK.,4,BHAT, PRESIDENT COMMISIONER  - INDEPENDENT,BHAKTI MULTI ARTHA TBK.
 ANG HENDRA SETIAWAN ANGKAW ,BHAKTI MULTI ARTHA TBK.,4,BHAT, COMMISSIONER ,BHAKTI MULTI ARTHA TBK.
 AGUNG FIRMAN SAMPURNA ,MNC ASIA HOLDING TBK.,4,BHIT, PRESIDENT COMMISIONER  - INDEPENDENT,MNC ASIA HOLDING TBK.
 DARMA PUTRA ,MNC ASIA HOLDING TBK.,4,BHIT, VICE PRESIDENT COMMISIONER ,MNC ASIA HOLDING TBK.
 LILIANA TANAJA TANOESOEDIBJO ,MNC ASIA HOLDING TBK.,4,BHIT, COMMISSIONER ,MNC ASIA HOLDING TBK.
 VALENCIA HERLIANI TANOESOEDIBJO ,MNC ASIA HOLDING TBK.,4,BHIT, COMMISSIONER ,MNC ASIA HOLDING TBK.
 HERBERT P. SITOHANG ,MNC ASIA HOLDING TBK.,4,BHIT, COMMISSIONER  - INDEPENDENT,MNC ASIA HOLDING TBK.
 NATHALIA SETIAWAN ,BINAKARYA JAYA ABADI TBK.,4,BIKA, PRESIDENT COMMISIONER ,BINAKARYA JAYA ABADI TBK.
 IRMA MARTANI ,BINAKARYA JAYA ABADI TBK.,4,BIKA, COMMISSIONER  - INDEPENDENT,BINAKARYA JAYA ABADI TBK.
  ,BINAKARYA JAYA ABADI TBK.,4,BIKA, COMMISSIONER ,BINAKARYA JAYA ABADI TBK.
 HENRY MULYADI ,SEPEDA BERSAMA INDONESIA TBK.,4,BIKE, PRESIDENT COMMISIONER ,SEPEDA BERSAMA INDONESIA TBK.
 MUH NUR RAHMAD ,SEPEDA BERSAMA INDONESIA TBK.,4,BIKE, COMMISSIONER  - INDEPENDENT,SEPEDA BERSAMA INDONESIA TBK.
 JUDIONO TOSIN ,PRIMARINDO ASIA INFRASTRUCTURE TBK.,4,BIMA, PRESIDENT COMMISIONER  - INDEPENDENT,PRIMARINDO ASIA INFRASTRUCTURE TBK.
 AGUS SOETOPO ,PRIMARINDO ASIA INFRASTRUCTURE TBK.,4,BIMA, COMMISSIONER  - INDEPENDENT,PRIMARINDO ASIA INFRASTRUCTURE TBK.
 ENDANG KOSASIH ,PRIMARINDO ASIA INFRASTRUCTURE TBK.,4,BIMA, COMMISSIONER  - INDEPENDENT,PRIMARINDO ASIA INFRASTRUCTURE TBK.
 INAWATY HANDOJO ,BANK INA PERDANA TBK.,4,BINA, PRESIDENT COMMISIONER  - INDEPENDENT,BANK INA PERDANA TBK.
 YOHANES SANTOSO WIBOWO ,BANK INA PERDANA TBK.,4,BINA, COMMISSIONER  - INDEPENDENT,BANK INA PERDANA TBK.
 JOSAVIA RACHMAN ICHWAN ,BANK INA PERDANA TBK.,4,BINA, COMMISSIONER ,BANK INA PERDANA TBK.
 WANG ZHONGMING ,PERMA PLASINDO TBK.,4,BINO, PRESIDENT COMMISIONER ,PERMA PLASINDO TBK.
 WILLIANTO ISMADI ,PERMA PLASINDO TBK.,4,BINO, COMMISSIONER  - INDEPENDENT,PERMA PLASINDO TBK.
 HENGKY TANER ,PERMA PLASINDO TBK.,4,BINO, COMMISSIONER  - INDEPENDENT,PERMA PLASINDO TBK.
 CHRIS HARIJANTO ,PERMA PLASINDO TBK.,4,BINO, COMMISSIONER ,PERMA PLASINDO TBK.
 DWI WAHYU DARYOTO ,ASTRINDO NUSANTARA INFRASTRUKTUR TBK.,4,BIPI, COMMISSIONER  - INDEPENDENT,ASTRINDO NUSANTARA INFRASTRUKTUR TBK.
 ACHMAD WIDJAJA ,ASTRINDO NUSANTARA INFRASTRUKTUR TBK.,4,BIPI, PRESIDENT COMMISIONER  - INDEPENDENT,ASTRINDO NUSANTARA INFRASTRUKTUR TBK.
 ANDI ARIEFANDRA PUTRA JAKILE ,ASTRINDO NUSANTARA INFRASTRUKTUR TBK.,4,BIPI, COMMISSIONER ,ASTRINDO NUSANTARA INFRASTRUKTUR TBK.
 PITER KOROMPIS ,BHUWANATALA INDAH PERMAI TBK.,4,BIPP, PRESIDENT COMMISIONER  - INDEPENDENT,BHUWANATALA INDAH PERMAI TBK.
 LOUISE LI ,BHUWANATALA INDAH PERMAI TBK.,4,BIPP, COMMISSIONER ,BHUWANATALA INDAH PERMAI TBK.
 EDDY WIDJAJA ,BHUWANATALA INDAH PERMAI TBK.,4,BIPP, COMMISSIONER ,BHUWANATALA INDAH PERMAI TBK.
 BAYU PRIAWAN DJOKOSOETONO ,BLUE BIRD TBK.,4,BIRD, PRESIDENT COMMISIONER ,BLUE BIRD TBK.
 NONI SRI AYATI PURNOMO ,BLUE BIRD TBK.,4,BIRD, VICE PRESIDENT COMMISIONER ,BLUE BIRD TBK.
 SRI ADRIYANI LESTARI ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER ,BLUE BIRD TBK.
 KRESNA PRIAWAN DJOKOSOETONO ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER ,BLUE BIRD TBK.
 GUNAWAN SURJO WIBOWO ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER ,BLUE BIRD TBK.
 RINALDI FIRMANSYAH ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER  - INDEPENDENT,BLUE BIRD TBK.
 BUDI SETIYADI ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER  - INDEPENDENT,BLUE BIRD TBK.
 SETYO WASISTO ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER  - INDEPENDENT,BLUE BIRD TBK.
 ALAMANDA SHANTIKA ,BLUE BIRD TBK.,4,BIRD, COMMISSIONER  - INDEPENDENT,BLUE BIRD TBK.
 TJIU THOMAS EFFENDY ,BISI INTERNATIONAL TBK.,4,BISI, PRESIDENT COMMISIONER ,BISI INTERNATIONAL TBK.
 LIE SUHANTO ,BISI INTERNATIONAL TBK.,4,BISI, VICE PRESIDENT COMMISIONER ,BISI INTERNATIONAL TBK.
 BURHAN HIDAYAT ,BISI INTERNATIONAL TBK.,4,BISI, COMMISSIONER  - INDEPENDENT,BISI INTERNATIONAL TBK.
 SUNARDI ,BISI INTERNATIONAL TBK.,4,BISI, COMMISSIONER  - INDEPENDENT,BISI INTERNATIONAL TBK.
  ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.,4,BJBR, PRESIDENT COMMISIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.
 TOMSI TOHIR ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.,4,BJBR, COMMISSIONER ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.
  ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.,4,BJBR, COMMISSIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.
 RUDIE KUSMAYADI ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.,4,BJBR, COMMISSIONER ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.
 HERMAN SURYATMAN ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.,4,BJBR, COMMISSIONER ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.
 NOVIAN HERODWIJANTO ,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.,4,BJBR, COMMISSIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK.
 MUHAMMAD MAS'UD ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.,4,BJTM, COMMISSIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.
 ADHY KARYONO ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.,4,BJTM, COMMISSIONER ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.
 DADANG SETIABUDI ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.,4,BJTM, COMMISSIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.
 ADI SULISTYOWATI ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.,4,BJTM, PRESIDENT COMMISIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.
 ASRI AGUNG PUTRA ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.,4,BJTM, COMMISSIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.
 NURUL GHUFRON ,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.,4,BJTM, COMMISSIONER  - INDEPENDENT,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK.
 ENDANG LESTARI PUJIASTUTI ,BUKIT DARMO PROPERTY TBK,4,BKDP, PRESIDENT COMMISIONER ,BUKIT DARMO PROPERTY TBK
 LEOTINE IERMA AGUSTINA SUMAMPOW ,BUKIT DARMO PROPERTY TBK,4,BKDP, VICE PRESIDENT COMMISIONER ,BUKIT DARMO PROPERTY TBK
 LETNAN JENDERAL (PURN.) TARUB ,BUKIT DARMO PROPERTY TBK,4,BKDP, COMMISSIONER  - INDEPENDENT,BUKIT DARMO PROPERTY TBK
 AGUS WIDAGDO ,BUKIT DARMO PROPERTY TBK,4,BKDP, COMMISSIONER ,BUKIT DARMO PROPERTY TBK
 EDY SUKAMTO ,BUKIT DARMO PROPERTY TBK,4,BKDP, COMMISSIONER  - INDEPENDENT,BUKIT DARMO PROPERTY TBK
 BASARIA PANJAITAN ,SENTUL CITY TBK.,4,BKSL, PRESIDENT COMMISIONER ,SENTUL CITY TBK.
 REINA KUMALA KWEE ,SENTUL CITY TBK.,4,BKSL, VICE PRESIDENT COMMISIONER ,SENTUL CITY TBK.
 SUMARSONO ,SENTUL CITY TBK.,4,BKSL, COMMISSIONER ,SENTUL CITY TBK.
 YUSWANDI ARSYAD TEMENGGUNG ,SENTUL CITY TBK.,4,BKSL, COMMISSIONER ,SENTUL CITY TBK.
 WAHYU UTOMO ,SENTUL CITY TBK.,4,BKSL, COMMISSIONER  - INDEPENDENT,SENTUL CITY TBK.
 LUKITA DINARSYAH TUWO ,SENTUL CITY TBK.,4,BKSL, COMMISSIONER  - INDEPENDENT,SENTUL CITY TBK.
 GATOT SUDARIYONO ,SENTUL CITY TBK.,4,BKSL, COMMISSIONER ,SENTUL CITY TBK.
 JONNARDI ,SENTUL CITY TBK.,4,BKSL, COMMISSIONER  - INDEPENDENT,SENTUL CITY TBK.
 DJOKO SARWONO ,BANK QNB INDONESIA TBK.,4,BKSW, COMMISSIONER  - INDEPENDENT,BANK QNB INDONESIA TBK.
 MUHAMMAD ANAS MALLA ,BANK QNB INDONESIA TBK.,4,BKSW, COMMISSIONER  - INDEPENDENT,BANK QNB INDONESIA TBK.
 KHALID AL-SADA ,BANK QNB INDONESIA TBK.,4,BKSW, COMMISSIONER ,BANK QNB INDONESIA TBK.
 FATMA AL-SUWAIDI ,BANK QNB INDONESIA TBK.,4,BKSW, PRESIDENT COMMISIONER ,BANK QNB INDONESIA TBK.
 DERMAWAN SUPARSONO ,SUPERIOR PRIMA SUKSES TBK.,4,BLES, PRESIDENT COMMISIONER ,SUPERIOR PRIMA SUKSES TBK.
 DANNY KRISTONO SANTOSO ,SUPERIOR PRIMA SUKSES TBK.,4,BLES, COMMISSIONER ,SUPERIOR PRIMA SUKSES TBK.
 TJIO FONG ING ,SUPERIOR PRIMA SUKSES TBK.,4,BLES, COMMISSIONER ,SUPERIOR PRIMA SUKSES TBK.
 BELINDA NATALIA ,SUPERIOR PRIMA SUKSES TBK.,4,BLES, COMMISSIONER ,SUPERIOR PRIMA SUKSES TBK.
" PROF. DR. DRS. CHANDRA SETIAWAN, M.M. PH.D ",SUPERIOR PRIMA SUKSES TBK.,4,BLES, COMMISSIONER  - INDEPENDENT,SUPERIOR PRIMA SUKSES TBK.
 LUKAS RUSLI ,SUPERIOR PRIMA SUKSES TBK.,4,BLES, COMMISSIONER  - INDEPENDENT,SUPERIOR PRIMA SUKSES TBK.
 BUDIYANTO DJOKO SUSANTO ,TRIMITRA TRANS PERSADA TBK.,4,BLOG, PRESIDENT COMMISIONER ,TRIMITRA TRANS PERSADA TBK.
 DODDY SURJA BAJUADJI ,TRIMITRA TRANS PERSADA TBK.,4,BLOG, COMMISSIONER ,TRIMITRA TRANS PERSADA TBK.
 WIWIEK DIANAWATI SANTOSO ,TRIMITRA TRANS PERSADA TBK.,4,BLOG, COMMISSIONER  - INDEPENDENT,TRIMITRA TRANS PERSADA TBK.
 HADI SURYA ,BERLIAN LAJU TANKER TBK,4,BLTA, PRESIDENT COMMISIONER ,BERLIAN LAJU TANKER TBK
 SAFZEN NOERDIN ,BERLIAN LAJU TANKER TBK,4,BLTA, COMMISSIONER ,BERLIAN LAJU TANKER TBK
 ANTONIUS JOENOES SUPIT ,BERLIAN LAJU TANKER TBK,4,BLTA, COMMISSIONER  - INDEPENDENT,BERLIAN LAJU TANKER TBK
 BRATANATA PERDANA ,GRAHA LAYAR PRIMA TBK.,4,BLTZ, PRESIDENT COMMISIONER ,GRAHA LAYAR PRIMA TBK.
 YOYOK SRI NURCAHYO ,GRAHA LAYAR PRIMA TBK.,4,BLTZ, COMMISSIONER  - INDEPENDENT,GRAHA LAYAR PRIMA TBK.
 RUDY TASRIF ,BERKAH PRIMA PERKASA TBK.,4,BLUE, PRESIDENT COMMISIONER ,BERKAH PRIMA PERKASA TBK.
 SIEK AGUNG GUNTORO ,BERKAH PRIMA PERKASA TBK.,4,BLUE, COMMISSIONER ,BERKAH PRIMA PERKASA TBK.
 NOVIYANTI INDAH KARDIMAN ,BERKAH PRIMA PERKASA TBK.,4,BLUE, COMMISSIONER  - INDEPENDENT,BERKAH PRIMA PERKASA TBK.
 CHAT LUANGARPA ,BANK MASPION INDONESIA TBK.,4,BMAS, PRESIDENT COMMISIONER ,BANK MASPION INDONESIA TBK.
 DIANA ALIM ,BANK MASPION INDONESIA TBK.,4,BMAS, COMMISSIONER ,BANK MASPION INDONESIA TBK.
 RONY TEJA SUKAMANA ,BANK MASPION INDONESIA TBK.,4,BMAS, COMMISSIONER  - INDEPENDENT,BANK MASPION INDONESIA TBK.
 ALAN JENVIPHAKUL ,BANK MASPION INDONESIA TBK.,4,BMAS, COMMISSIONER  - INDEPENDENT,BANK MASPION INDONESIA TBK.
 PARDI KENDY ,BANK MASPION INDONESIA TBK.,4,BMAS, COMMISSIONER  - INDEPENDENT,BANK MASPION INDONESIA TBK.
 SRI HARJANTO ,LAVENDER BINA CENDIKIA TBK.,4,BMBL, PRESIDENT COMMISIONER  - INDEPENDENT,LAVENDER BINA CENDIKIA TBK.
 WILDAN FAUZAN ,LAVENDER BINA CENDIKIA TBK.,4,BMBL, COMMISSIONER ,LAVENDER BINA CENDIKIA TBK.
 TINI ISMIYANI ,LAVENDER BINA CENDIKIA TBK.,4,BMBL, COMMISSIONER ,LAVENDER BINA CENDIKIA TBK.
 IVAN RIZAL SINI ,BUNDAMEDIK TBK.,4,BMHS, PRESIDENT COMMISIONER ,BUNDAMEDIK TBK.
 SHUBHASISH CHATTORAJ ,BUNDAMEDIK TBK.,4,BMHS, VICE PRESIDENT COMMISIONER ,BUNDAMEDIK TBK.
 MESHA RIZAL SINI ,BUNDAMEDIK TBK.,4,BMHS, COMMISSIONER ,BUNDAMEDIK TBK.
 RETNO L.P. MARSUDI ,BUNDAMEDIK TBK.,4,BMHS, COMMISSIONER  - INDEPENDENT,BUNDAMEDIK TBK.
 ARIANTI ANAYA ,BUNDAMEDIK TBK.,4,BMHS, COMMISSIONER  - INDEPENDENT,BUNDAMEDIK TBK.
 ZULKIFLI ZAINI ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, PRESIDENT COMMISIONER  - INDEPENDENT,BANK MANDIRI (PERSERO) TBK.
 M. RUDY SALAHUDDIN RAMTO ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, VICE PRESIDENT COMMISIONER ,BANK MANDIRI (PERSERO) TBK.
 MUHAMMAD YUSUF ATEH ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, COMMISSIONER ,BANK MANDIRI (PERSERO) TBK.
 LUKY ALFIRMAN ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, COMMISSIONER ,BANK MANDIRI (PERSERO) TBK.
 YULIOT ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, COMMISSIONER ,BANK MANDIRI (PERSERO) TBK.
 MIA AMIATI ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, COMMISSIONER  - INDEPENDENT,BANK MANDIRI (PERSERO) TBK.
 B. BINTORO KUNTO PARDEWO ,BANK MANDIRI (PERSERO) TBK.,4,BMRI, COMMISSIONER  - INDEPENDENT,BANK MANDIRI (PERSERO) TBK.
 WELLY THOMAS ,BINTANG MITRA SEMESTARAYA TBK,4,BMSR, PRESIDENT COMMISIONER ,BINTANG MITRA SEMESTARAYA TBK
 HONG FANG ,BINTANG MITRA SEMESTARAYA TBK,4,BMSR, COMMISSIONER  - INDEPENDENT,BINTANG MITRA SEMESTARAYA TBK
 TJENDRAWATI ,BINTANG MITRA SEMESTARAYA TBK,4,BMSR, COMMISSIONER ,BINTANG MITRA SEMESTARAYA TBK
 ROSANO BARACK ,GLOBAL MEDIACOM TBK.,4,BMTR, PRESIDENT COMMISIONER ,GLOBAL MEDIACOM TBK.
 MOHAMED IDWAN GANIE ,GLOBAL MEDIACOM TBK.,4,BMTR, COMMISSIONER  - INDEPENDENT,GLOBAL MEDIACOM TBK.
 BETI PUSPITASARI SANTOSO ,GLOBAL MEDIACOM TBK.,4,BMTR, COMMISSIONER  - INDEPENDENT,GLOBAL MEDIACOM TBK.
 DANIEL BUDI DHARMA ,BANK BUMI ARTA TBK.,4,BNBA, VICE PRESIDENT COMMISIONER  - INDEPENDENT,BANK BUMI ARTA TBK.
 R.M. SJARIFFUDIN (MOHAMMAD SJARIFFUDIN) ,BANK BUMI ARTA TBK.,4,BNBA, COMMISSIONER  - INDEPENDENT,BANK BUMI ARTA TBK.
" I GST AGUNG RAI WIRAJAYA, SE, MM ",BANK BUMI ARTA TBK.,4,BNBA, COMMISSIONER ,BANK BUMI ARTA TBK.
 ARMANSYAH YAMIN ,BAKRIE & BROTHERS TBK,4,BNBR, PRESIDENT COMMISIONER ,BAKRIE & BROTHERS TBK
 RANIWATI MALIK ,BAKRIE & BROTHERS TBK,4,BNBR, COMMISSIONER  - INDEPENDENT,BAKRIE & BROTHERS TBK
 SYAILENDRA S. BAKRIE ,BAKRIE & BROTHERS TBK,4,BNBR, COMMISSIONER ,BAKRIE & BROTHERS TBK
 ADIKA ARYASTHANA BAKRIE ,BAKRIE & BROTHERS TBK,4,BNBR, COMMISSIONER ,BAKRIE & BROTHERS TBK
 ADRIAN TOHO PARADA PANGGABEAN ,BAKRIE & BROTHERS TBK,4,BNBR, COMMISSIONER  - INDEPENDENT,BAKRIE & BROTHERS TBK
 DIDI SYAFRUDDIN YAHYA ,BANK CIMB NIAGA TBK.,4,BNGA, PRESIDENT COMMISIONER ,BANK CIMB NIAGA TBK.
 GLENN MUHAMMAD SURYA YUSUF ,BANK CIMB NIAGA TBK.,4,BNGA, VICE PRESIDENT COMMISIONER  - INDEPENDENT,BANK CIMB NIAGA TBK.
 SRI WIDOWATI ,BANK CIMB NIAGA TBK.,4,BNGA, COMMISSIONER  - INDEPENDENT,BANK CIMB NIAGA TBK.
 FARINA J. SITUMORANG ,BANK CIMB NIAGA TBK.,4,BNGA, COMMISSIONER  - INDEPENDENT,BANK CIMB NIAGA TBK.
 VERA HANDAJANI ,BANK CIMB NIAGA TBK.,4,BNGA, COMMISSIONER ,BANK CIMB NIAGA TBK.
 DODY BUDI WALUYO ,BANK CIMB NIAGA TBK.,4,BNGA, COMMISSIONER  - INDEPENDENT,BANK CIMB NIAGA TBK.
 NOVAN AMIRUDIN ,BANK CIMB NIAGA TBK.,4,BNGA, COMMISSIONER ,BANK CIMB NIAGA TBK.
 DATO' KHAIRUSSALEH RAMLI ,BANK MAYBANK INDONESIA TBK.,4,BNII, PRESIDENT COMMISIONER ,BANK MAYBANK INDONESIA TBK.
 EDWIN GERUNGAN ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER ,BANK MAYBANK INDONESIA TBK.
 DATUK LIM HONG TAT ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER ,BANK MAYBANK INDONESIA TBK.
 DATO' ZULKIFLEE ABBAS ABDUL HAMID ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER ,BANK MAYBANK INDONESIA TBK.
 HENDAR ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER  - INDEPENDENT,BANK MAYBANK INDONESIA TBK.
 PUTUT EKO BAYUSENO ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER  - INDEPENDENT,BANK MAYBANK INDONESIA TBK.
 MARINA R. TUSIN ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER  - INDEPENDENT,BANK MAYBANK INDONESIA TBK.
 DANIEL JAMES ROMPAS ,BANK MAYBANK INDONESIA TBK.,4,BNII, COMMISSIONER  - INDEPENDENT,BANK MAYBANK INDONESIA TBK.
 CHARTSIRI SOPHONPANICH ,BANK PERMATA TBK.,4,BNLI, PRESIDENT COMMISIONER ,BANK PERMATA TBK.
 CHONG TOH ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER ,BANK PERMATA TBK.
 NIRAMARN LAISATHIT ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER ,BANK PERMATA TBK.
 HARYANTO SAHARI ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER  - INDEPENDENT,BANK PERMATA TBK.
 YAP TJAY SOEN ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER  - INDEPENDENT,BANK PERMATA TBK.
 GOEI SIAUW HONG ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER  - INDEPENDENT,BANK PERMATA TBK.
 CHALIT TAYJASANANT ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER ,BANK PERMATA TBK.
 RISWINANDI ,BANK PERMATA TBK.,4,BNLI, COMMISSIONER  - INDEPENDENT,BANK PERMATA TBK.
 DHARMAWATI DJUHANA ,NEWPORT MARINE SERVICES TBK.,4,BOAT, PRESIDENT COMMISIONER ,NEWPORT MARINE SERVICES TBK.
 IWAN IRAWAN ,NEWPORT MARINE SERVICES TBK.,4,BOAT, COMMISSIONER  - INDEPENDENT,NEWPORT MARINE SERVICES TBK.
 HENGKY WIJAYA ,FORMOSA INGREDIENT FACTORY TBK.,4,BOBA, COMMISSIONER ,FORMOSA INGREDIENT FACTORY TBK.
 MISS PAPORN MAHATTANOBOL ,FORMOSA INGREDIENT FACTORY TBK.,4,BOBA, PRESIDENT COMMISIONER ,FORMOSA INGREDIENT FACTORY TBK.
 RIONALDO THEDYARDI ,FORMOSA INGREDIENT FACTORY TBK.,4,BOBA, COMMISSIONER  - INDEPENDENT,FORMOSA INGREDIENT FACTORY TBK.
 ROMEO LLEDO ,BINTANG OTO GLOBAL TBK.,4,BOGA, PRESIDENT COMMISIONER ,BINTANG OTO GLOBAL TBK.
" MARJORIE E WAIRIZAL, SE ",BINTANG OTO GLOBAL TBK.,4,BOGA, COMMISSIONER  - INDEPENDENT,BINTANG OTO GLOBAL TBK.
